"Scenario","Bias.hier","Bias.sep","Coverage.hier","Coverage.sep","EmpiricalSE.hier","EmpiricalSE.sep","RB.hier","RB.sep"
1,0,0,0.99,0.84,0.01,0,0.01,0
2,0,0,0.98,0.83,0.01,0,0.01,0
3,0,0,0.96,0.84,0.01,0,0,0
4,0,0,0.93,0.84,0.01,0,0,0
5,0.04,0,0.95,0.83,0.08,0,0.15,0.01
6,0.06,0,0.94,0.83,0.09,0,0.22,0.01
7,0.12,0.01,0.35,0.72,0.05,0.01,0.46,0.05
8,0.1,0.01,0.48,0.75,0.05,0,0.36,0.04
9,0,0,1,0.97,0.02,0,0.01,0
10,0,0,0.99,0.97,0.02,0,0.01,0.01
11,0,0,0.98,0.97,0.02,0.01,0,0
12,0,0,0.97,0.97,0.01,0.01,0,0
13,0.06,0,0.96,0.97,0.09,0,0.21,0.02
14,0.07,0,0.94,0.97,0.09,0,0.27,0.02
15,0.12,0.03,0.35,0.65,0.05,0.01,0.47,0.11
16,0.1,0.02,0.48,0.73,0.05,0.01,0.36,0.09
17,0.07,0.13,0.94,0.93,0.07,0.07,0.26,0.5
18,0.02,0.13,0.95,0.92,0.05,0.07,0.09,0.48
19,0.01,0.03,0.95,0.94,0.04,0.05,0.03,0.1
20,0,0.03,0.94,0.95,0.02,0.05,0.01,0.1
21,0.2,0.21,0.34,0.54,0.08,0.08,0.75,0.78
22,0.17,0.2,0.17,0.6,0.05,0.09,0.65,0.74
23,0.14,0.15,0.23,0.3,0.05,0.05,0.53,0.56
24,0.11,0.12,0.44,0.45,0.05,0.05,0.41,0.45
25,0.07,0.13,0.95,0.92,0.07,0.07,0.25,0.5
26,0.02,0.13,0.97,0.92,0.05,0.07,0.09,0.48
27,0.01,0.03,0.97,0.95,0.04,0.05,0.03,0.1
28,0,0.03,0.96,0.95,0.02,0.05,0.01,0.1
29,0.2,0.21,0.39,0.54,0.08,0.09,0.74,0.78
30,0.17,0.2,0.25,0.6,0.06,0.09,0.65,0.73
31,0.14,0.15,0.25,0.31,0.05,0.05,0.54,0.56
32,0.11,0.12,0.44,0.45,0.05,0.05,0.41,0.45
