"Scenario","Bias.hier.x","Bias.sep.x","Coverage.hier.x","Coverage.sep.x","EmpiricalSE.hier.x","EmpiricalSE.sep.x","RB.hier.x","RB.sep.x","Bias.hier.y","Bias.sep.y","Coverage.hier.y","Coverage.sep.y","EmpiricalSE.hier.y","EmpiricalSE.sep.y","RB.hier.y","RB.sep.y"
1,0.01,0.01,0.99,0.86,0.03,0,0,0,0,0,0.99,0.84,0.01,0,0.01,0
2,0.01,0.01,0.98,0.85,0.03,0,0,0,0,0,0.98,0.83,0.01,0,0.01,0
3,0.01,0.01,0.96,0.84,0.03,0.01,0,0,0,0,0.96,0.84,0.01,0,0,0
4,0.01,0.01,0.94,0.85,0.03,0.01,0,0,0,0,0.93,0.84,0.01,0,0,0
5,0.57,0.5,0.21,0.1,0.22,0.16,0.18,0.16,0.04,0,0.95,0.83,0.08,0,0.15,0.01
6,0.55,0.42,0.34,0.14,0.28,0.21,0.19,0.14,0.06,0,0.94,0.83,0.09,0,0.22,0.01
7,0.57,0.39,0.12,0.02,0.14,0.09,0.19,0.14,0.12,0.01,0.35,0.72,0.05,0.01,0.46,0.05
8,0.52,0.37,0.18,0.04,0.15,0.1,0.18,0.14,0.1,0.01,0.48,0.75,0.05,0,0.36,0.04
9,0.01,0.01,1,0.97,0.06,0.01,0,0,0,0,1,0.97,0.02,0,0.01,0
10,0.01,0.01,0.99,0.97,0.06,0.01,0.01,0,0,0,0.99,0.97,0.02,0,0.01,0.01
11,0.01,0.01,0.98,0.97,0.04,0.02,0,0,0,0,0.98,0.97,0.02,0.01,0,0
12,0.01,0.01,0.97,0.97,0.04,0.03,0,0,0,0,0.97,0.97,0.01,0.01,0,0
13,0.61,0.51,0.22,0.13,0.23,0.16,0.2,0.16,0.06,0,0.96,0.97,0.09,0,0.21,0.02
14,0.57,0.43,0.37,0.2,0.27,0.22,0.2,0.14,0.07,0,0.94,0.97,0.09,0,0.27,0.02
15,0.57,0.42,0.12,0.04,0.14,0.09,0.19,0.14,0.12,0.03,0.35,0.65,0.05,0.01,0.47,0.11
16,0.51,0.39,0.18,0.06,0.15,0.1,0.18,0.15,0.1,0.02,0.48,0.73,0.05,0.01,0.36,0.09
17,0.2,0.36,0.93,0.92,0.19,0.2,0.08,0.13,0.07,0.13,0.94,0.93,0.07,0.07,0.26,0.5
18,0.08,0.38,0.95,0.91,0.15,0.23,0.03,0.16,0.02,0.13,0.95,0.92,0.05,0.07,0.09,0.48
19,0.03,0.08,0.95,0.94,0.1,0.14,0.01,0.03,0.01,0.03,0.95,0.94,0.04,0.05,0.03,0.1
20,0.01,0.08,0.94,0.94,0.06,0.15,0.01,0.03,0,0.03,0.94,0.95,0.02,0.05,0.01,0.1
21,0.91,0.9,0.09,0.18,0.19,0.21,0.32,0.31,0.2,0.21,0.34,0.54,0.08,0.08,0.75,0.78
22,0.84,0.87,0.1,0.26,0.21,0.24,0.32,0.33,0.17,0.2,0.17,0.6,0.05,0.09,0.65,0.74
23,0.63,0.62,0.06,0.08,0.15,0.14,0.22,0.21,0.14,0.15,0.23,0.3,0.05,0.05,0.53,0.56
24,0.56,0.57,0.11,0.13,0.15,0.15,0.21,0.21,0.11,0.12,0.44,0.45,0.05,0.05,0.41,0.45
25,0.19,0.36,0.95,0.91,0.2,0.21,0.07,0.13,0.07,0.13,0.95,0.92,0.07,0.07,0.25,0.5
26,0.08,0.38,0.97,0.91,0.15,0.23,0.03,0.15,0.02,0.13,0.97,0.92,0.05,0.07,0.09,0.48
27,0.03,0.08,0.97,0.95,0.1,0.14,0.01,0.03,0.01,0.03,0.97,0.95,0.04,0.05,0.03,0.1
28,0.01,0.08,0.96,0.94,0.06,0.15,0,0.03,0,0.03,0.96,0.95,0.02,0.05,0.01,0.1
29,0.91,0.91,0.11,0.16,0.2,0.2,0.32,0.32,0.2,0.21,0.39,0.54,0.08,0.09,0.74,0.78
30,0.84,0.87,0.13,0.26,0.22,0.25,0.32,0.33,0.17,0.2,0.25,0.6,0.06,0.09,0.65,0.73
31,0.63,0.62,0.07,0.09,0.14,0.14,0.22,0.21,0.14,0.15,0.25,0.31,0.05,0.05,0.54,0.56
32,0.56,0.57,0.11,0.13,0.15,0.15,0.2,0.21,0.11,0.12,0.44,0.45,0.05,0.05,0.41,0.45
