"Scenario","Bias.hier","Bias.sep","Coverage.hier","Coverage.sep","EmpiricalSE.hier","EmpiricalSE.sep","RB.hier","RB.sep"
1,0.01,0.01,0.99,0.86,0.03,0,0,0
2,0.01,0.01,0.98,0.85,0.03,0,0,0
3,0.01,0.01,0.96,0.84,0.03,0.01,0,0
4,0.01,0.01,0.94,0.85,0.03,0.01,0,0
5,0.57,0.5,0.21,0.1,0.22,0.16,0.18,0.16
6,0.55,0.42,0.34,0.14,0.28,0.21,0.19,0.14
7,0.57,0.39,0.12,0.02,0.14,0.09,0.19,0.14
8,0.52,0.37,0.18,0.04,0.15,0.1,0.18,0.14
9,0.01,0.01,1,0.97,0.06,0.01,0,0
10,0.01,0.01,0.99,0.97,0.06,0.01,0.01,0
11,0.01,0.01,0.98,0.97,0.04,0.02,0,0
12,0.01,0.01,0.97,0.97,0.04,0.03,0,0
13,0.61,0.51,0.22,0.13,0.23,0.16,0.2,0.16
14,0.57,0.43,0.37,0.2,0.27,0.22,0.2,0.14
15,0.57,0.42,0.12,0.04,0.14,0.09,0.19,0.14
16,0.51,0.39,0.18,0.06,0.15,0.1,0.18,0.15
17,0.2,0.36,0.93,0.92,0.19,0.2,0.08,0.13
18,0.08,0.38,0.95,0.91,0.15,0.23,0.03,0.16
19,0.03,0.08,0.95,0.94,0.1,0.14,0.01,0.03
20,0.01,0.08,0.94,0.94,0.06,0.15,0.01,0.03
21,0.91,0.9,0.09,0.18,0.19,0.21,0.32,0.31
22,0.84,0.87,0.1,0.26,0.21,0.24,0.32,0.33
23,0.63,0.62,0.06,0.08,0.15,0.14,0.22,0.21
24,0.56,0.57,0.11,0.13,0.15,0.15,0.21,0.21
25,0.19,0.36,0.95,0.91,0.2,0.21,0.07,0.13
26,0.08,0.38,0.97,0.91,0.15,0.23,0.03,0.15
27,0.03,0.08,0.97,0.95,0.1,0.14,0.01,0.03
28,0.01,0.08,0.96,0.94,0.06,0.15,0,0.03
29,0.91,0.91,0.11,0.16,0.2,0.2,0.32,0.32
30,0.84,0.87,0.13,0.26,0.22,0.25,0.32,0.33
31,0.63,0.62,0.07,0.09,0.14,0.14,0.22,0.21
32,0.56,0.57,0.11,0.13,0.15,0.15,0.2,0.21
